"postal_code","town","lease_commenced"
"643660","JURONG WEST","2001-09-01"
"642561","JURONG WEST",NULL
"640452","JURONG WEST","1985-02-01"
"521149","TAMPINES","1984-10-01"
"680562","CHOA CHU KANG","1995-06-01"
"640521","JURONG WEST","1982-12-01"
"544183","SENGKANG","2003-06-01"
"643684","JURONG WEST","2000-08-01"
"640865","JURONG WEST","1996-10-01"
"614138","JURONG WEST","2014-09-04"
"611138","JURONG WEST","2014-09-04"
"600328","JURONG EAST","1984-06-01"
"642657","JURONG WEST","2001-06-01"
"640480","JURONG WEST","1985-10-01"
"640523","JURONG WEST","1982-05-01"
"640620","JURONG WEST","2000-12-01"
"540121","SENGKANG","2000-08-01"
"640401","JURONG WEST","1984-08-01"
"600331","JURONG EAST","1985-05-01"
"640262","JURONG WEST","1995-06-01"
"640843","JURONG WEST","1993-05-27"
"641661","JURONG WEST","2001-08-01"
"600231","JURONG EAST","1981-06-01"
"640554","JURONG WEST","1984-11-01"
"610350","JURONG WEST","1997-10-01"
"600349","JURONG EAST","1986-05-01"
"640520","JURONG WEST","1984-07-01"
"822160","PUNGGOL","2004-05-01"
"640515","JURONG WEST","1984-06-01"
"540195","SENGKANG","2001-07-01"
"610336","JURONG WEST","1997-02-01"
"600327","JURONG EAST","1985-04-01"
"640488","JURONG WEST","1985-02-01"
"120710","CLEMENTI","1984-04-01"
"640821","JURONG WEST","1990-03-01"
"643685","JURONG WEST","2000-08-01"
"640438","JURONG WEST","1984-07-01"
"640536","JURONG WEST","1983-09-01"
"640727","JURONG WEST","1989-10-01"
"600229","JURONG EAST","1981-06-01"
"460159","BEDOK","1985-03-01"
"650139","BUKIT BATOK","1984-04-01"
"521499","TAMPINES","2014-03-01"
"141095","QUEENSTOWN",NULL
"641197","JURONG WEST","2015-04-01"
"750470","SEMBAWANG","2000-09-01"
"640483","JURONG WEST","1985-05-01"
"610111","JURONG WEST","1970-04-01"
"610321","JURONG WEST","1997-08-01"
"600031","JURONG EAST","1981-07-01"
"640463","JURONG WEST","1985-06-01"
"640485","JURONG WEST","1984-08-01"
"823176","PUNGGOL","2003-08-01"
"643678","JURONG WEST","2008-06-01"
"640508","JURONG WEST","1986-04-01"
"600258","JURONG EAST","1983-02-01"
"311099","TOA PAYOH","1993-03-26"
"600022","JURONG EAST","2013-09-01"
"550142","SERANGOON","1986-12-01"
"541311","SENGKANG","2002-09-01"
"693129","TENGAH",NULL
"601221","JURONG EAST","1984-09-01"
"640745","JURONG WEST","1990-07-01"
"600215","JURONG EAST","1984-11-01"
